,text,status,phone,doneAt,ACTION
0,1781016840 Wakeup cloud info bubble LS,Rejected,7317869830,09/06/2026 09:54:02,Keep
1,1781016611 Wakeup cloud info bubble LS,Rejected,7317869830,09/06/2026 09:50:13,Keep
2,1781016490 Wakeup cloud info bubble LS,Rejected,7317869830,09/06/2026 09:48:11,Keep
3,1781016473 Wakeup cloud info bubble LS,Rejected,7317869830,09/06/2026 09:47:54,Keep
4,1781016408 Wakeup cloud info bubble LS,Rejected,7317869830,09/06/2026 09:46:49,Keep
5,1781016407 Wakeup cloud info bubble LS,Rejected,7317869830,09/06/2026 09:46:48,Keep
6,1507665261_Wakeup,Rejected,997582625,09/06/2026 09:46:10,Keep
7,1912391557_Wakeup,Rejected,997582625,09/06/2026 09:45:08,Keep
8,1432970802_Wakeup,Rejected,997582625,09/06/2026 09:44:45,Keep
9,"!R3,1,7",Delivered,9103443545,09/06/2026 09:44:45,Keep
10,"!R3,1,7",Delivered,9103443545,09/06/2026 09:44:26,Keep
11,1781016204 Wakeup cloud info bubble LS,Rejected,102356209,09/06/2026 09:43:25,Keep
12,"!R3,1,7",Delivered,9103443545,09/06/2026 09:43:27,Keep
13,"!R3,1,7",Delivered,9103443545,09/06/2026 09:43:24,Keep
14,"AT+GTOUT=gv55w,0,0,0,1,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9103444842,09/06/2026 09:43:23,Keep
15,986138955_Wakeup,Rejected,997582625,09/06/2026 09:43:17,Keep
16,1781016190 Wakeup cloud info bubble LS,Rejected,102356191,09/06/2026 09:43:11,Keep
17,1781016186 Wakeup cloud info bubble LS,Rejected,102356191,09/06/2026 09:43:08,Keep
18,"AT+GTOUT=gv55w,0,0,0,1,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9104042815,09/06/2026 09:43:04,Keep
19,"AT+GTOUT=gv55w,0,0,0,1,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9103597000,09/06/2026 09:43:02,Keep
20,"AT+GTOUT=gv55w,0,0,0,1,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9104045391,09/06/2026 09:42:45,Keep
21,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9103444842,09/06/2026 09:42:23,Keep
22,1381825925_Wakeup,Rejected,997582625,09/06/2026 09:42:02,Keep
23,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9103444842,09/06/2026 09:42:00,Keep
24,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9104042815,09/06/2026 09:41:46,Keep
25,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9103597000,09/06/2026 09:41:45,Keep
26,ACT. ENCENDIDO  on (HBZN580NKLAH21750) => HBZN580NKLAH21750 - Speed: 0 Km/h - Time: Jun  9 2026  9:44AM,Delivered,3155158248,09/06/2026 09:41:53,Keep
27,1989186550_Wakeup,Rejected,997582625,09/06/2026 09:41:35,Keep
28,"AT+GTOUT=gv55w,1,0,0,0,0,0,,,,0,,0,,0,0,0,FFFF$",Delivered,9104045391,09/06/2026 09:41:41,Keep
29,1761966737_Wakeup,Rejected,997582625,09/06/2026 09:41:35,Keep
30,816232415_Wakeup,Rejected,997582625,09/06/2026 09:41:25,Keep
31,1216855036_Wakeup,Delivered,997582625,09/06/2026 09:41:22,Keep
32,1804772717_Wakeup,Delivered,997582625,09/06/2026 09:41:20,Keep
33,1781016064 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:08,Keep
34,1781016063 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:08,Keep
35,610737202_Wakeup,Delivered,997582625,09/06/2026 09:41:14,Keep
36,1781016063 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:07,Keep
37,1947912975_Wakeup,Delivered,997582625,09/06/2026 09:41:10,Keep
38,1781016064 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:06,Keep
39,1781016063 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:05,Keep
40,1781016063 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:04,Keep
41,1781016063 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:04,Keep
42,1781016062 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:04,Keep
43,1781016062 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:04,Keep
44,1781016062 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:04,Keep
45,1781016062 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:04,Keep
46,1781016061 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:04,Keep
47,1781016060 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:03,Keep
48,1781016061 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:03,Keep
49,1781016060 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:02,Keep
50,1781016060 Wakeup cloud info bubble LS,Rejected,103682510,09/06/2026 09:41:01,Keep
51,1510223522_Wakeup,Delivered,997582625,09/06/2026 09:41:04,Keep
52,1611032907_Wakeup,Delivered,997582625,09/06/2026 09:41:04,Keep
53,1009556237_Wakeup,Delivered,967973511,09/06/2026 09:40:50,Keep
54,2000357852_Wakeup,Delivered,997582625,09/06/2026 09:40:39,Keep
55,ACT. Ignicion Encendida en (SWM704) => SWM704 - Velocidad: 0 Km/h - Fecha: Jun  9 2026  9:40AM,Delivered,3145973800,09/06/2026 09:40:38,Keep
56,ACT. Ignicion Encendida en (SWM704) => SWM704 - Velocidad: 0 Km/h - Fecha: Jun  9 2026  9:40AM,Delivered,3016064880,09/06/2026 09:40:37,Keep
57,1928195887_Wakeup,Delivered,997582625,09/06/2026 09:40:24,Keep
58,1747991760_Wakeup,Delivered,997582625,09/06/2026 09:40:21,Keep
59,83120052_Wakeup,Delivered,997582625,09/06/2026 09:40:17,Keep
60,879558980_Wakeup,Delivered,997582625,09/06/2026 09:40:14,Keep
61,1359889263_Wakeup,Delivered,997582625,09/06/2026 09:40:07,Keep
62,140539356_Wakeup,Delivered,997582625,09/06/2026 09:39:40,Keep
63,833765742_Wakeup,Delivered,3182794231,09/06/2026 09:39:39,Keep
64,1220997487_Wakeup,Delivered,967948131,09/06/2026 09:39:14,Keep
65,470990144_Wakeup,Delivered,997582625,09/06/2026 09:38:16,Keep
66,"AT+GTRTO=gv55w,1,,1,,,,FFFF$",Delivered,9103432206,09/06/2026 09:37:47,Keep
67,760748495_Wakeup,Delivered,9103720932,09/06/2026 09:37:20,Keep
68,1245908398_Wakeup,Delivered,997582625,09/06/2026 09:37:01,Keep
69,1322938759_Wakeup,Delivered,997582625,09/06/2026 09:35:56,Keep
70,ACT. Ignicion Encendida en (GDY845) => GDY845 - Velocidad: 0 Km/h - Fecha: Jun  9 2026  9:32AM,Delivered,3145973800,09/06/2026 09:32:56,Keep
71,ACT. Ignicion Encendida en (GDY845) => GDY845 - Velocidad: 0 Km/h - Fecha: Jun  9 2026  9:32AM,Delivered,3016064880,09/06/2026 09:32:58,Keep
72,149097900_Wakeup,Delivered,3174485272,09/06/2026 09:29:55,Keep
73,437636766_Wakeup,Delivered,997582625,09/06/2026 09:29:40,Keep
74,1600057946_Wakeup,Delivered,997582625,09/06/2026 09:29:07,Keep
75,187335395_Wakeup,Delivered,997582625,09/06/2026 09:25:40,Keep
